年,總計,單人,夫妻,單親,核心,祖孫,三代,其他
90,6730886,722122,876727,520336,3171413,75175,1041893,323220
91,6839390,582194,881117,552971,3265047,87997,1116642,353422
92,6961560,645001,994023,573455,3253848,75240,1055728,364266
93,7083445,704122,1003729,548302,3307188,81799,1077517,360787
94,7206883,714811,1151511,619837,3204331,92979,1027477,395937
95,7307999,770088,1098167,630555,3263690,80518,1065749,399231
96,7414281,711519,1179758,702348,3200101,98159,1087238,435159
97,7544629,812033,1165133,723694,3226902,86902,1113500,416465
98,7688014,810243,1238261,751916,3188329,81986,1171220,446058
99,7840923,879124,1252243,769765,3272054,88965,1066578,512194
100,7959828,805897,1357285,741091,3199101,97717,1204035,554702
101,8077323,889740,1354483,788576,3148846,103655,1192850,599174
